# =============================================================================
# {All-in-One Deluxe Edition}-yuanze31
# =============================================================================

# =============================================================================
# =============================================================================
# =============================================================================
# =============================================================================
# =============================================================================

# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog	完整更新日志
graph_axis_securitygrading	安全等级
graph_axis_healthgrading	健康等级
graph_axis_reformgrading	教化等级
graph_axis_punishmentgrading	惩罚等级
graph_axis_reoffendingrate	再犯罪率
graph_axis_prisonvalue	监狱价值
graph_axis_prisonercapacity	囚犯容量
graph_axis_numincidents	事件数量
graph_axis_totalincidents	总事故

equipment_Photo	照片
equipment_SubMachineGun	冲锋枪
equipment_Soap	肥皂

############################### Prison Wing Priviledges UPDATE ###############################

# =============================================================================
# Interface Mode
# =============================================================================

room_gymnasium	健身房
buildtoolbar_popup_room_gymnasium	这里是囚犯们锻炼身体、发泄压抑攻击性地方，也是训练他们用传统的方式处理分歧的地方。

buildtoolbar_popup_help_CellStatus_1	牢房状态显示你的牢房为已占用（橙色），帮派（红色）和闲置（绿色）。 点击已占用的牢房可查看分配至其中的犯人。

object_punchbag_blocked	无法使用沙袋
object_trainingdummy_blocked	无法使用训练木偶

gangCell	*X 牢房
gangMember	帮派成员
gangSoldier	帮派士兵
gangLieutenant	帮派干部
gangLeader	帮派头目

interfacedeployment_CustomSector	自定义区块

# =============================================================================
# Materials - Names
# =============================================================================

material_RunningTrack	跑道
material_BambooFloor	竹纤维
material_pipewall	墙壁（管道）
material_overgrownwall	墙壁（蔓生）
material_derelictwall	墙壁（破旧）
material_slumwall	墙壁（贫民窟）
material_rustywall	墙壁（锈迹斑斑）
material_bamboofence	栅栏（竹制）
material_decayedWall	墙壁（腐朽）
material_flowerfield	花田
material_FenceAndGrass	栅栏（草坪）
material_WallMinSec	墙壁（轻刑犯）
material_WallMedSec	墙壁（普通犯）
material_WallMaxSec	墙壁（重刑犯）
material_WallInsaneSec	墙壁（白色）
material_WallProtective	墙壁（黄色）
material_CliffEdge	悬崖边

# =============================================================================
# Objects - Names
# =============================================================================

object_ovalStaffTable	桌子（椭圆形）
object_Painting1	绘画
object_Painting2	绘画
object_ChessTable	国际象棋桌
object_GlassWindow	窗户玻璃
object_GlassWindowLarge	窗户玻璃（大）
object_GymMat	体操垫
object_SinkMirror	水槽和镜子
object_TableFootball	桌上足球
object_TableTennis	乒乓球
object_TyreApparatus	轮胎器械
object_bambooDoor	门（竹制）
object_Canvas	画布和颜料
object_PetBird	宠物鸟
object_SoftPillow	软枕
object_BoxingRing	拳击台
object_DumbbellRack	哑铃架
object_Treadmill	跑步机
object_Fan	风扇
object_PunchBag	沙袋
object_WardenStatue	典狱长塑像
object_SnackMachine	零食贩卖机
object_Mattress	床（海绵床垫）
object_MetalBarrel	金属桶
object_WoodenBarrel	木桶
object_MooringBollard	系缆桩
object_DeckChair	折叠式躺椅
object_LightGreen	灯（绿色）
object_LightRed	灯（红色）
object_Buoy	浮标
object_LifeRing	救生圈
object_CoffeeMachine	投币咖啡机
object_ComputerStation	机房
object_PASystem	广播系统
object_TrainingDummy	训练木偶
object_StoneWaterSpout	石质喷水嘴
object_WindSock	风向标
object_ComfyBed	舒适的床铺
object_IndoorTreePlanter	室内植树花盆
object_OldBed	旧床
object_CameraPillar	摄像机柱
object_Blackboard	黑板
object_JailDoorWhite	监狱门（白色）
object_JailDoorLargeWhite	大型监狱门（白色）

object_SignNumber0	标识（数字 0）
object_SignNumber1	标识（数字 1）
object_SignNumber2	标识（数字 2）
object_SignNumber3	标识（数字 3）
object_SignNumber4	标识（数字 4）
object_SignNumber5	标识（数字 5）
object_SignNumber6	标识（数字 6）
object_SignNumber7	标识（数字 7）
object_SignNumber8	标识（数字 8）
object_SignNumber9	标识（数字 9）

object_SignLetterA	标识（字母 A）
object_SignLetterB	标识（字母 B）
object_SignLetterC	标识（字母 C）
object_SignLetterD	标识（字母 D）
object_SignLetterE	标识（字母 E）
object_SignLetterF	标识（字母 F）
object_SignLetterG	标识（字母 G）
object_SignLetterH	标识（字母 H）
object_SignLetterI	标识（字母 I）
object_SignLetterJ	标识（字母 J）
object_SignLetterK	标识（字母 K）
object_SignLetterL	标识（字母 L）
object_SignLetterM	标识（字母 M）
object_SignLetterN	标识（字母 N）
object_SignLetterO	标识（字母 O）
object_SignLetterP	标识（字母 P）
object_SignLetterQ	标识（字母 Q）
object_SignLetterR	标识（字母 R）
object_SignLetterS	标识（字母 S）
object_SignLetterT	标识（字母 T）
object_SignLetterU	标识（字母 U）
object_SignLetterV	标识（字母 V）
object_SignLetterW	标识（字母 W）
object_SignLetterX	标识（字母 X）
object_SignLetterY	标识（字母 Y）
object_SignLetterZ	标识（字母 Z）

equipment_StrikePlacard	罢工标语牌

# =============================================================================
# Prefabs - Names
# =============================================================================

quickbuild_Armoury	枪械库
quickbuild_Infirmary	医务室
quickbuild_Laundry	洗衣房
quickbuild_Library	图书馆
quickbuild_MailRoom	邮件收发室
quickbuild_Visitation	探视

# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_affectsGradingNegativly	- 将监狱牢房等级降低一所。

buildtoolbar_popup_obj_ovalStaffTable	在员工区域搭配椅子会很棒。
buildtoolbar_popup_obj_painting1	尽管这是监狱，但这并不意味着我们不能展现出优雅的品味。
buildtoolbar_popup_obj_painting2	尽管这是监狱，但这并不意味着我们不能展现出优雅的品味。
buildtoolbar_popup_obj_chessTable	为了喜欢未雨绸缪的囚犯或员工。
buildtoolbar_popup_obj_GLassWindow	可以见到一缕阳光。
buildtoolbar_popup_obj_GlassWindowLarge	可以见到充沛的阳光。
buildtoolbar_popup_obj_GymMat	为了舒展身体从而缓解疼痛。\n- 满足锻炼需求
buildtoolbar_popup_obj_TableTennis	为你的囚犯提供额外的消遣。\n- 满足娱乐需求。
buildtoolbar_popup_obj_TableFootball	为你的囚犯提供额外的消遣。\n- 满足娱乐需求。
buildtoolbar_popup_obj_TyreApparatus	有些囚犯坚持认为他们有练习攀岩的方法。\n- 满足锻炼需求。
buildtoolbar_popup_obj_SinkMirror	在囚犯牢房中安装水槽和镜子。\n- 满足卫生需求。
buildtoolbar_popup_obj_bambooDoor	有个人做了个竹制大门来搭配竹制栅栏。\n这扇门被视作标准门。
buildtoolbar_popup_obj_canvas	这种创新方式让囚犯能够表达他们的感受，而不用互相捅刀子。
buildtoolbar_popup_obj_PetBird	能够陪伴囚犯的小伙伴。\n- 满足家庭、舒适和享受的需求。
buildtoolbar_popup_obj_SoftPillow	使用毛茸茸的羽毛枕头可进一步提升囚犯床铺的质量和舒适度。\n- 满足舒适和睡眠需求。
buildtoolbar_popup_obj_BoxingRing	没有健身房的监狱是不完整的。大多数犯人更喜欢在这幅画布上用对方的鲜血作画。
buildtoolbar_popup_obj_DumbbellRack	为了志趣相投的囚犯。\n- 满足锻炼需求。
buildtoolbar_popup_obj_Treadmill	为了让囚犯保持健康。刻苦训练的囚犯甚至可能跑得更快。\n- 满足锻炼需求。
buildtoolbar_popup_obj_Fan	老式立扇，可稍微帮助冷却周围的空气。
buildtoolbar_popup_obj_PunchBag	犯人需要释放好斗情绪时适用。\n- 满足锻炼和娱乐需求。
buildtoolbar_popup_obj_WardenStatue	高大的石像，象征着典狱长对监狱的统治。过多雕像会让囚犯感到压抑。\n- 可少量增加压迫感。
buildtoolbar_popup_obj_WaterCooler	囚犯建筑师的饮水机时刻。
buildtoolbar_popup_obj_SnackMachine	高热低质的零食。
buildtoolbar_popup_obj_Mattress	比较舒适的海绵床垫。虽然是最便宜的床，但好歹比地板好一点。
buildtoolbar_popup_obj_MetalBarrel	在造船厂附近比较常见。
buildtoolbar_popup_obj_WoodenBarrel	在造船厂附近比较常见。
buildtoolbar_popup_obj_MooringBollard	为码头区域添加一个经典功能。该区域也像一堵小墙。
buildtoolbar_popup_obj_LightGreen	室外灯，但灯泡是绿色。在直升机停机坪区域看起来很棒。
buildtoolbar_popup_obj_LightRed	室外灯，但灯泡是红色。在直升机停机坪区域看起来很棒。
buildtoolbar_popup_obj_Buoy	漂浮在水中。
buildtoolbar_popup_obj_LifeRing	为码头区域添加一个经典功能。
buildtoolbar_popup_obj_ArcadeCabinet	先进的复古游戏机可供囚犯消遣。\n- 满足娱乐和舒适需求。
buildtoolbar_popup_obj_CoffeeMachine	过度劳累的员工渴望的功能。
buildtoolbar_popup_obj_ComputerStation	满足“文化”和“舒适”需求。
buildtoolbar_popup_obj_PASystem	定期提醒囚犯他们实际还在监狱中，从而压制他们。\n- 增加囚犯身处牢房或庭院时感受到的压迫感。
buildtoolbar_popup_obj_TrainingDummy	老式少林训练木偶。\n- 刻苦训练的囚犯甚至可能学到新的战斗技巧！
buildtoolbar_popup_obj_StoneWaterSpout	哥特式石质水龙头，与供水系统相连时，会从嘴里喷水。
buildtoolbar_popup_obj_WindSock	风向袋可预警未来 1 小时内的灾难，并可显示风向和速度。
buildtoolbar_popup_obj_ComfyBed	配有记忆海绵床垫的豪华大床，可提供最好的夜间睡眠质量。
buildtoolbar_popup_obj_IndoorTreePlanter	下沉式植树花盆，可用于室内种植树木。
buildtoolbar_popup_obj_OldBed	老式监狱床铺。比海绵床垫舒服，但比不上标准床。
buildtoolbar_popup_obj_Blackboard	没有它，教室就不完整。
buildtoolbar_popup_obj_JailDoorWhite	彩色监狱门，有助于标记精神病人囚犯牢房。
buildtoolbar_popup_obj_JailDoorLargeWhite	彩色监狱门，有助于标记精神病人囚犯牢房。
buildtoolbar_popup_obj_camerapillar	要放置在开放区域，然后将摄像头安装在两侧。

buildtoolbar_popup_obj_signNumber0	一个带有数字 0 标识的墙标。排列标识可创建词语或标记，如“4 号牢房”。
buildtoolbar_popup_obj_signNumber1	一个带有数字 1 标识的墙标。排列标识可创建词语或标记，如“4 号牢房”。
buildtoolbar_popup_obj_signNumber2	一个带有数字 2 标识的墙标。排列标识可创建词语或标记，如“4 号牢房”。
buildtoolbar_popup_obj_signNumber3	一个带有数字 3 标识的墙标。排列标识可创建词语或标记，如“4 号牢房”。
buildtoolbar_popup_obj_signNumber4	一个带有数字 4 标识的墙标。排列标识可创建词语或标记，如“4 号牢房”。
buildtoolbar_popup_obj_signNumber5	一个带有数字 5 标识的墙标。排列标识可创建词语或标记，如“4 号牢房”。
buildtoolbar_popup_obj_signNumber6	一个带有数字 6 标识的墙标。排列标识可创建词语或标记，如“4 号牢房”。
buildtoolbar_popup_obj_signNumber7	一个带有数字 7 标识的墙标。排列标识可创建词语或标记，如“4 号牢房”。
buildtoolbar_popup_obj_signNumber8	一个带有数字 8 标识的墙标。排列标识可创建词语或标记，如“4 号牢房”。
buildtoolbar_popup_obj_signNumber9	一个带有数字 9 标识的墙标。排列标识可创建词语或标记，如“4 号牢房”。

buildtoolbar_popup_obj_signLetterA	一个带有字母 A 标识的墙标。排列标识可创建词语或标记，如“4 号牢房”。
buildtoolbar_popup_obj_signLetterB	一个带有字母 B 标识的墙标。排列标识可创建词语或标记，如“4 号牢房”。
buildtoolbar_popup_obj_signLetterC	一个带有字母 C 标识的墙标。排列标识可创建词语或标记，如“4 号牢房”。
buildtoolbar_popup_obj_signLetterD	一个带有字母 D 标识的墙标。排列标识可创建词语或标记，如“4 号牢房”。
buildtoolbar_popup_obj_signLetterE	一个带有字母 E 标识的墙标。排列标识可创建词语或标记，如“4 号牢房”。
buildtoolbar_popup_obj_signLetterF	一个带有字母 F 标识的墙标。排列标识可创建词语或标记，如“4 号牢房”。
buildtoolbar_popup_obj_signLetterG	一个带有字母 G 标识的墙标。排列标识可创建词语或标记，如“4 号牢房”。
buildtoolbar_popup_obj_signLetterH	一个带有字母 H 标识的墙标。排列标识可创建词语或标记，如“4 号牢房”。
buildtoolbar_popup_obj_signLetterI	一个带有字母 I 标识的墙标。排列标识可创建词语或标记，如“4 号牢房”。
buildtoolbar_popup_obj_signLetterJ	一个带有字母 J 标识的墙标。排列标识可创建词语或标记，如“4 号牢房”。
buildtoolbar_popup_obj_signLetterK	一个带有字母 K 标识的墙标。排列标识可创建词语或标记，如“4 号牢房”。
buildtoolbar_popup_obj_signLetterL	一个带有字母 L 标识的墙标。排列标识可创建词语或标记，如“4 号牢房”。
buildtoolbar_popup_obj_signLetterM	一个带有字母 M 标识的墙标。排列标识可创建词语或标记，如“4 号牢房”。
buildtoolbar_popup_obj_signLetterN	一个带有字母 N 标识的墙标。排列标识可创建词语或标记，如“4 号牢房”。
buildtoolbar_popup_obj_signLetterO	一个带有字母 O 标识的墙标。排列标识可创建词语或标记，如“4 号牢房”。
buildtoolbar_popup_obj_signLetterP	一个带有字母 P 标识的墙标。排列标识可创建词语或标记，如“4 号牢房”。
buildtoolbar_popup_obj_signLetterQ	一个带有字母 Q 标识的墙标。排列标识可创建词语或标记，如“4 号牢房”。
buildtoolbar_popup_obj_signLetterR	一个带有字母 R 标识的墙标。排列标识可创建词语或标记，如“4 号牢房”。
buildtoolbar_popup_obj_signLetterS	一个带有字母 S 标识的墙标。排列标识可创建词语或标记，如“4 号牢房”。
buildtoolbar_popup_obj_signLetterT	一个带有字母 T 标识的墙标。排列标识可创建词语或标记，如“4 号牢房”。
buildtoolbar_popup_obj_signLetterU	一个带有字母 U 标识的墙标。排列标识可创建词语或标记，如“4 号牢房”。
buildtoolbar_popup_obj_signLetterV	一个带有字母 V 标识的墙标。排列标识可创建词语或标记，如“4 号牢房”。
buildtoolbar_popup_obj_signLetterW	一个带有字母 W 标识的墙标。排列标识可创建词语或标记，如“4 号牢房”。
buildtoolbar_popup_obj_signLetterX	一个带有字母 X 标识的墙标。排列标识可创建词语或标记，如“4 号牢房”。
buildtoolbar_popup_obj_signLetterY	一个带有字母 Y 标识的墙标。排列标识可创建词语或标记，如“4 号牢房”。
buildtoolbar_popup_obj_signLetterZ	一个带有字母 Z 标识的墙标。排列标识可创建词语或标记，如“4 号牢房”。

buildtoolbar_popup_mat_pipewall	在基地上建造有管道通过的墙壁，以创建新区域或房间。
buildtoolbar_popup_mat_derelictwall	建造廉价的破旧墙壁搭配古老的外观。
buildtoolbar_popup_mat_overgrownwall	建造廉价的蔓生墙壁，因为哪怕在监狱里，生命也自有其法。
buildtoolbar_popup_mat_rustywall	建造锈迹斑斑的廉价墙壁搭配后世界末日外观。
buildtoolbar_popup_mat_slumwall	建造廉价的贫民窟墙壁，因为你可以用在囚犯福利上省下的钱扩建办公室。
buildtoolbar_popup_mat_bambooFence	有个人建造了竹制栅栏搭配营地外观。
buildtoolbar_popup_mat_RunningTrack	非常适合我们的囚犯在庭院里慢跑。
buildtoolbar_popup_mat_BambooFloor	丛林营地外观的地面。
buildtoolbar_popup_mat_DecayedWall	在地基上用腐坏的煤砖建造墙壁。
buildtoolbar_popup_mat_flowerfield	长满美丽鲜花的草地区域。
buildtoolbar_popup_mat_fenceandgrass	下面是草坪而非泥土的栅栏区块。
buildtoolbar_popup_mat_WallMinSec	建造彩色的墙壁以表示监狱中特定的安全区块。
buildtoolbar_popup_mat_WallMedSec	建造彩色的墙壁以表示监狱中特定的安全区块。
buildtoolbar_popup_mat_WallMaxSec	建造彩色的墙壁以表示监狱中特定的安全区块。
buildtoolbar_popup_mat_WallInsaneSec	建造彩色的墙壁以表示监狱中特定的安全区块。
buildtoolbar_popup_mat_WallProtective	建造彩色的墙壁以表示监狱中特定的安全区块。
buildtoolbar_popup_mat_CliffEdge	建造悬崖壁，从而在监狱或岛屿周围创建高架区块和无法通行的区域。

interfaceoverlay_signs	标识
interfacemode_walls	墙壁
interfacemode_doors	门
interface_action_snackbought	零食购买

# =============================================================================
# Crisis Toolbar
# =============================================================================

crisisSector_AllSectors	所有区块
crisisSector_StopAll	停止所有
crisisSector_SharedOnly	公共区域
crisisSector_MinSecOnly	最低设防区
crisisSector_MedSecOnly	普通设防区
crisisSector_MaxSecOnly	最高设防区
crisisSector_InsaneOnly	精神病人专区
crisisSector_ProtectedOnly	重点保护区
crisisSector_SuperMaxOnly	超高设防区
crisisSector_DeathRowOnly	死刑犯专区

crisisToolbarTitle_WeaponsFree	自由开火
crisisToolbarTitle_TunnelSearch	地道搜查
crisisToolbarTitle_Shakedown	彻底搜查
crisisToolbarTitle_Lockdown	防范禁闭
crisisToolbarTitle_Bangup	上锁囚禁
crisisToolbarTitle_RollCall	点名
crisisToolbarQuestion	- 选择哪些区块？

# =============================================================================
# Custom Sector Window
# =============================================================================

customSector_message	请选择可进入此自定义区块的安全等级。
customsectorwindow_minseccaption	轻刑犯
customsectorwindow_medseccaption	普通犯
customsectorwindow_maxseccaption	重刑犯
customsectorwindow_supermaxcaption	超重刑犯
customsectorwindow_deathrowcaption	死刑犯
customsectorwindow_protectivecaption	重点保护
customsectorwindow_insanecaption	精神病人囚犯

customSector_title	自定义安全区块
customSector_subtitle	此安全区块允许下列行为：

# =============================================================================
# Room Grading
# =============================================================================

roomgrading_messaging	升级此房间也将提升此安全区块等级。
roomGrading_prisonerTransfer	安装“批准移送”DLC 并在“地图设置”菜单中打开“囚犯移送”选项后，升级才会激励囚犯。

roomgrading_Cell_BadWalls	[*E] 四周墙壁摇摇欲坠
roomgrading_Cell_OutsideWindow_Large	[*E] *Y 大型窗户
roomgrading_Cell_HasWindow_None	[*E] 无窗户
roomgrading_Dormitory_BadWalls	[*E] 四周墙壁摇摇欲坠
roomgrading_Dormitory_Mattress	[*E] 大多数床质量较差
roomgrading_Dormitory_HasWindow_None	[*E] 无窗户
roomgrading_Canteen_RoomSize	[*E] 房间面积至少 *X 平方米
roomgrading_Canteen_Item	[*E] 项目：*X
roomgrading_Canteen_MealQuality	[*E] 平均餐食质量
roomgrading_Canteen_MealQuality_High	[*E] 餐食质量高
roomgrading_Canteen_MealQuality_Low	[*E] 餐食质量低
roomgrading_Canteen_MealQuality_None	[*E] 无餐食质量可言
roomgrading_Canteen_MealVariety	[*E] 平均餐食种类
roomgrading_Canteen_MealVariety_High	[*E] 餐食种类多
roomgrading_Canteen_MealVariety_Low	[*E] 餐食种类少
roomgrading_Canteen_MealVariety_None	[*E] 无餐食种类可言
roomgrading_Canteen_HasWindow_None	[*E] 无窗户
roomgrading_Yard_RoomSize	[*E] 房间面积至少 *X 平方米
roomgrading_Yard_RoomSizeLess	[*E]房间面积至多 *X 平方米
roomgrading_Yard_Item	[*E] 项目：*X
roomgrading_Yard_Floor	[*E] *X 地板（*Y% 以上）
roomgrading_Yard_MultiItems	[*E] 包含上述物品中的 *X 种
roomgrading_Yard_Floor_Quantity	[*E] *X *Y 平方米
roomgrading_CommonRoom_RoomSize	[*E] 房间面积至少 *X 平方米
roomgrading_CommonRoom_Item	[*E] 项目：*X
roomgrading_Gymnasium_RoomSize	[*E] 房间面积至少 *X 平方米
roomgrading_Gymnasium_OutsideWindow	[*E] *Y 室外窗户
roomgrading_Gymnasium_Item	[*E] 项目：*X
roomgrading_Gymnasium_HasWindow_None	[*E] 无窗户
roomgrading_Classroom_RoomSize	[*E] 房间面积至少 *X 平方米
roomgrading_Classroom_Item	[*E] 项目：*X
roomgrading_Classroom_OutsideWindow	[*E] *Y 室外窗户

buildtoolbar_improvement	- 提升一个 *R 的等级
buildtoolbar_decreased	- 降低一个 *R 的等级
buildtoolbar_improvement_windows	（面向外部时）

buildtoolbar_planning_autofoundation	自动地基

# =============================================================================
# Security Sector Grading
# =============================================================================

interfaceLogistics_MinSecGrading	最低设防区评级
interfaceLogistics_MedSecGrading	普通设防区评级
interfaceLogistics_MaxSecGrading	最高设防区评级
interfaceLogistics_SuperMaxGrading	超高设防区评级

sectorGrading_title	*X 区块
sectorGrading_housed	*X 囚犯住在 *Y
sectorGrading_desiresTransfer	*X *Y 囚犯希望搬入 *Z

sectorGrading_description	以下是此区块等级细分。添加的特权越多，等级就会越高，最高为 250 级。
sectorGrading_encouragement	*X 和此区块之间的等级越高，就会鼓励更多 *X 囚犯接受改造且守规矩，争取机会转到安全等级较低的区块。
sectorGrading_discouragement	你也可以通过移除特权和降低舒适度达到相同的效果，从而降低 *X 的等级，但此举有惹恼囚犯的风险。

sectorGrading_transferNote	（请注意：安装“批准移送”DLC 并在“地图设置”菜单中打开“囚犯移送”选项后，移送对囚犯的激励作用才会生效。）

sectorGrading_privilegesTitle	囚犯特权
sectorGrading_visitation	[+*X] 探视
sectorGrading_mail	[+*X] 邮件
sectorGrading_work	[+*X] 工作机会（现金）
sectorGrading_education	[+*X] 教育 / 方案访问权限
sectorGrading_meals	[+*X] 每天 2 餐以上
sectorGrading_freeTime	[+*X] 充足的自由时间 (20%)
sectorGrading_extraFreeTime	[+*X] 额外的自由时间 (30%)
sectorGrading_yard	[+*X] 进入庭院的次数
sectorGrading_gym	[+*X] 进入健身房的次数
sectorGrading_shop	[+*X] 进入商店的次数
sectorGrading_commonRoom	[+*X] 进入休息室的次数
sectorGrading_showers	[+*X] 热水淋浴
sectorGrading_sleep	[+*X] 10 小时以上的睡眠时间

sectorGrading_facilitiesTitle	设施
sectorGrading_room	[*X/*Y] *R 质量（平均）

sectorGrading_conditionsTitle	状况
sectorGrading_suppresion	[*X/15] *Y 压制
sectorGrading_risk	[*X/20] *Y 风险（死亡和受伤）
sectorGrading_cleanliness	[*X/15] *Y 清洁度

sectorGrading_grade	等级 *X/250
dialog_veryLow	非常低

# =============================================================================
# Policy Report
# =============================================================================

dialog_various	多种多样

report_needs_staffBreaks	这是所有类型的员工中可以同时休假的员工的最大比例。
reports_privilegetitle	特权政策
reports_misconducttitle	不当行为政策
reports_paroletitle	假释政策
reports_parole_info	调整截止期：
reports_parole_Cutoff	(*P%)
reports_policy_PrivilegeTableTitle	特权
reports_policy_Visitation	探视
reports_policy_Mail	邮件
reports_policy_PrisonLabour	狱中劳役
reports_policy_All	全部
reports_policy_Programs	方案
reports_policy_WorkPrograms	工作
reports_policy_EducationPrograms	教育
reports_policy_WellnessPrograms	健康安乐

reports_policy_defaults	推荐
reports_policy_tooltip_recomended	将 *X 设置为推荐值，适用于所有选定的安全等级。
reports_policy_tooltip_all	选择/取消选择所有监狱安全等级

reports_privilegesPolicy_tooltip_all	修改除假释听证会、死刑犯上诉和心理咨询以外的所有方案。
reports_privilegesPolicy_tooltip	选择可参与这些方案的安全区块：
reports_privilegesPolicy_tooltip_EducationPrograms	\n- 基础教育\n- 通识教育
reports_privilegesPolicy_tooltip_WellnessPrograms	\n- 行为疗法\n- 酗酒者集体理疗\n- 精神指导
reports_privilegesPolicy_tooltip_WorkPrograms	\n- 厨房安全与卫生\n- 工坊安全导语\n- 木工学徒

report_policy_categoryTooltip_Minsec	轻刑犯
report_policy_categoryTooltip_Normal	普通犯
report_policy_categoryTooltip_MaxSec	重刑犯
report_policy_categoryTooltip_Protected	重点保护
report_policy_categoryTooltip_SuperMax	超重刑犯
report_policy_categoryTooltip_DeathRow	死刑犯
report_policy_categoryTooltip_Insane	精神病人囚犯

report_policy_misconductConflict_tooltip	可选择多种具有不同策略值的安保人员类型。选择单个囚犯种类即可查看其不当行为政策。

report_policy_match	搭配：

# =============================================================================
# Deployment
# =============================================================================

interfacedeployment_Chef	分配厨师
interfacedeployment_Doctor	分配医生

buildtoolbar_deployment_Chef	把厨师分配到监狱中的各个区块。
buildtoolbar_deployment_Doctor	把医生分配到监狱中的各个区块。
buildtoolbar_deployment_PrioritizeJanitor	使用此选项，可以优先安排清洁工在特定区域工作，然后再清理监狱周围其他区域。如果你人手紧缺，清洁工会优先清理你设置的优先区域。安排 1 名、2 名或 3 名清洁工优先清理一个区域。
buildtoolbar_deployment_PrioritizeGardener	使用此选项，可以优先安排园丁在特定区域工作，然后再打理监狱周围其他区域。如果你人手紧缺，园丁会优先打理你设置的优先区域。安排 1 名、2 名或 3 名园丁优先打理一个区域。

researchtooltip_deployment2	你可以通过“部署”菜单将这些员工具体分配到监狱的各个区块。
researchtooltip_prioritize	你可以通过“部署菜单”将这些员工优先分配到监狱的各个区块。

interfacetopbar_tooltip_totalChefs	共计 *X 名厨师
interfacetopbar_tooltip_totalDoctors	共计 *X 名医生
interfacetopbar_tooltip_cook	监狱中待命的厨师数量。
interfacetopbar_tooltip_doctor	监狱中待命的医生数量。

interfacetopbar_tooltip_priorityStationed	*X 优先工作

interfacetopbar_tooltip_totalJanitors	共计 *X 名清洁工
interfacetopbar_tooltip_totalGardeners	共计 *X 名园丁
interfacetopbar_tooltip_janitor	监狱中待命的清洁工数量。
interfacetopbar_tooltip_gardener	监狱中待命的园丁数量。

# =============================================================================
# Prisoner Transfer Report
# =============================================================================

reports_prisoners_transfer	*X 名囚犯在转换为*C的评估结果：*W
reports_prisoners_transfer_ready	合格
reports_prisoners_transfer_wanting	不合格
reports_prisoners_transfer_button	全部批准
reports_prsioners_transfer_numCells	（牢房还可容纳 *X 名囚犯）

reports_transfers_offMessage	可以通过“地图设置”菜单开启囚犯移送。
report_Transfer	转换

transfer_icon_tooltip	使用下列选项确定 *X 囚犯转换至 *Y 需要符合的标准。\n你可以使用“政策标准”栏让囚犯更难获得移送资格，也可使用其他选项直接取消某些类型的囚犯的移送资格。\n并非所有囚犯都对移送感兴趣，特别是那些刑期较短的囚犯，他们正打算挖地道逃狱，或者干脆认为安全等级更低的区块的状况和舒适度也不比他们所在的区块好多少。
transfer_tooltip_onOff	取消选择以打开/关闭选定的安全区块。

transfer_description	为囚犯设置标准。囚犯若想转换至安全等级更低、更舒适的安全区块，则需要符合此标准。
transfer_use	从 *X 转换至 *Y 需要符合的标准
transfer_behaviourtitle	品行良好
transfer_reformtile	改造
transfer_requiredtitle	需要
transfer_qualifiedcaption	目前获得移送资格的囚犯总数
transfer_hopingcaption	想要获得移送资格的囚犯总数
transfer_numPrisoners	*X 囚犯 (*Y%)

transfer_title	移送政策
transfer_criteria	政策标准
transfer_qualifying	合格囚犯

transfer_behaviour_staffAssaults	未袭击员工
transfer_behaviour_murders	无谋杀
transfer_behaviour_murdersStuff	（员工和囚犯）
transfer_behaviour_escapeAttempts	无越狱企图
transfer_behaviour_contraband	无危险违禁品
transfer_behaviour_gangMembers	取消帮派成员的资格
transfer_behaviour_previousCrimes	因过去有犯罪记录而丧失资格的囚犯：

transfer_behaviour_tooltip_staffAssaults	获得移送资格的囚犯在规定时间内不得袭击任何员工。
transfer_behaviour_tooltip_murders	获得移送资格的囚犯在规定时间内不得谋杀员工或其他囚犯。
transfer_behaviour_tooltip_escapeAttempts	获得移送资格的囚犯在规定时间内不得有越狱企图。
transfer_behaviour_tooltip_contraband	获得移送资格的囚犯在规定时间内不得携带任何武器或工具。
transfer_behaviour_tooltip_gangMembers	选择取消所有帮派成员的移送资格，或只取消帮派内某些阶层的资格。
transfer_behaviour_tooltip_previousCrimes	通过下列犯罪组选项，选择取消有某些犯罪记录的囚犯的移送资格。

transfer_reform_tooltip_reoffending	获得移送资格的囚犯再犯罪几率必须低于规定的百分比。规定数值越低，越有助于确保表现最好、改造最成功的囚犯获得移送资格。
transfer_reform_tooltip_programsPassed	获得移送资格的囚犯必须通过规定数量的方案。规定数值越高，没有表现出改造意愿的囚犯越有可能丧失移送资格。

transfer_required_tooltip	调整此值，即可决定囚犯是需要符合所有检查标准才能获得移送资格，还是符合部分标准即可。

transfer_tooltip_uncheck	\n取消选择以移除此移送标准。

transfer_reform_reoffending	% 估计再犯罪几率
transfer_reform_programsPassed	通过的方案

transfer_required	上述需要符合的标准

transfer_criteriaTime	*X 天

gangNone	无
gang_transfer_None	无
gang_transfer_Soldier	全部
gang_transfer_Lieutenant	干部、头目
gang_transfer_Leader	头目

report_prisoner_approve	批准
report_prisoner_approveAll	批准所有符合移送标准的囚犯转换到 *X。移送的囚犯数量也取决于可用的牢房数量。

approveTransfer_title	批准移送
approveTransfer_message	批准囚犯 *F *S 移送至 *C
