# =============================================================================
# {All-in-One Deluxe Edition}-yuanze31
# =============================================================================


# =============================================================================
# =============================================================================
# =============================================================================
# =============================================================================
# =============================================================================

# =============================================================================
# Basic dialog strings
# =============================================================================

dialog_new	新建游戏
buildtoolbar_popup_help_gangs_7	- 幫派成員非常保護他們的領袖。若領袖出了什麼事，他們肯定不高興...

buildtoolbar_popup_help_weathermap_1	「溫度畫面」顯示監獄內各區域的溫度。溫度主要是透過暖器而增加。若一個區域過冷，該區域的囚犯溫暖需求就會增加。

buildtoolbar_popup_help_prefabs_1	「快速建造」選單包含協助加速建造你經常使用的房間的選項。複製工具可以讓你複製監獄的一個選定區域，並重新安置該區域。預製房間讓你安置自動符合需求的預製房間。\n\n
buildtoolbar_popup_help_prefabs_2	~選擇複製工具後，按住滑鼠右鍵並拖曳您想要複製的區域。接著，在監獄其他地方按左鍵，即可排定該區域的複製工程。 \n
buildtoolbar_popup_help_prefabs_3	~選定預製工具後，只要在你想要建造房間的區域上按左鍵，工人就會為你建造。\n\n
buildtoolbar_popup_help_prefabs_4	^提示
buildtoolbar_popup_help_prefabs_5	- 複製工具無法複製管線的連接。你必須手動連接電和水到你新建的區域。

buildtoolbar_popup_help_zoning_1	分區工具讓你控制哪些囚犯可以出入監獄哪些區域，其中「共享」以及「解鎖」則開放給所有囚犯類別。\n\n
buildtoolbar_popup_help_zoning_2	~選擇你要的區域類別，並在區域按左鍵。按右鍵重設區域為共享。\n\n
buildtoolbar_popup_help_zoning_3	^提示
buildtoolbar_popup_help_zoning_4	- 由於囚犯不得進入「僅限員工區域」，這讓你得以建立「空氣鎖」，將囚犯留在特定區域或共享區域。這個功能非常實用，舉例來說，你可以將所有保護管束的囚犯留在他們自己的區域，遠離共享庭院或休息室。
buildtoolbar_popup_help_zoning_5	- 若一個區域設置為解鎖，那麼該區域的所有門鎖都會開啟。

buildtoolbar_popup_help_guards_1	守衛工具可以讓你在每個區域駐紮守衛。駐紮守衛會在所分配的區域隨意走動，也會執行該區域的所有守衛工作，例如開門。\n\n
buildtoolbar_popup_help_guards_2	~按左鍵增加區域內駐紮的守衛人數。按右鍵移除守衛。\n\n
buildtoolbar_popup_help_guards_3	^提示
buildtoolbar_popup_help_guards_4	- 若你解鎖微觀管理功能，你可使用部署調度器。這可以讓你制定守衛分配至特定區域的時間表。例如，若你只想要在吃飯時間部署守衛在餐廳，你可以選取調度器上每一個與吃飯時間一致的時間區塊，然後移動時間橫條至該區塊，再點擊餐廳以分配守衛。
buildtoolbar_popup_help_guards_5	- 共有最多 7 個不同的時間區塊供你調度，還有預設的「常效模式」，讓你可以建立複雜的部署程序以符合你監獄的需求。
buildtoolbar_popup_help_guards_6	- 若你在分配守衛時，沒有手動選擇一個時間區塊，調度器會使用當下的時間；變化部署時，請確保你選擇了正確的時間！

buildtoolbar_popup_help_patrols_title	巡邏
buildtoolbar_popup_help_patrols_1	「三巡邏工具」讓你建立特定的巡邏路線，然後指派一般守衛、訓犬員或武裝警察（或組合以上三項）巡邏該路線。這些巡邏隊可以跨越多個區域。 \n\n
buildtoolbar_popup_help_patrols_2	~長按滑鼠左鍵並拖曳即可建立巡邏路線，在現有的巡邏路線按左鍵即可增加守衛至該該巡邏隊。按右鍵點擊巡邏中的守衛可將其移除， 或長按滑鼠右鍵並拖曳即可移除整個巡邏隊。\n\n
buildtoolbar_popup_help_patrols_3	^提示
buildtoolbar_popup_help_patrols_4	- 巡邏中的一般守衛會執行所有守衛職責，例如開門或搜查囚犯。訓犬員和武裝警衛不會。
buildtoolbar_popup_help_patrols_5	- 若你解鎖微觀管理功能，你將有權限使用部署調度器，可以如同部署守衛的方式安排巡邏。

buildtoolbar_popup_help_accessonly_1	“仅访问”工具允许您标记在监狱里四处活动时通常应避开的区域。如果您希望人们选择其他路线，那么它可以阻止人们使用房间作为捷径在监狱里通行。\n\n
buildtoolbar_popup_help_accessonly_2	~鼠标左键单击您要标记为“仅访问”的区域。此操作可以在正常安全设置的基础上执行。
buildtoolbar_popup_help_accessonly_3	～鼠标右键单击该区域可删除“仅访问”设置。\n\n
buildtoolbar_popup_help_accessonly_4	^小技巧
buildtoolbar_popup_help_accessonly_5	- “仅访问”并非严格的设置。它没有明确阻止人们进入，特别是他们的目标在标记区域内时。如果穿过“仅访问”区域比另一条路线要短得多（例如，绕行整个监狱），则人们可能仍然可以穿过“仅访问”区。

job_matsassigned	已分配材料
job_matsavailable	可用材料
job_awaitingmaterials	等待材料
job_inprogress	-正在进行-
job_blocked	-受阻-
job_queued	-已列队-

job_failed_noroute	无路径
job_failed_nomaterials	无材料
job_failed_toodangerous	太危险
job_failed_materialsbeingcarried	在途中的材料

job_rightclicktocancel	- 点击右键可取消
job_ftofollow	- 按F跟随
job_makehighpriority	- Ctrl + 点击左键可创建高优先级
job_removehighpriority	- Ctrl + 点击右键可移除高优先级
job_makehighpriority_mac	- Alt + 点击左键可创建高优先级
job_removehighpriority_mac	- Alt + 点击右键可移除高优先级
job_highpriority_tooltip	- 急迫
job_refundamount	- 退款金额：*X

failuremessage_blocked	被阻挡
failuremessage_cantafford	资金不足
failuremessage_cantaffordupkeep	超出日常预算
failuremessage_maximumcountreached	已达最大可聘用人数
failuremessage_maxstaff	员工过多


# =============================================================================
# Status Toolbar
# =============================================================================

statustoolbar_deliveries	运载
statustoolbar_finances	财政
statustoolbar_regime	统治
statustoolbar_escapemap	安保人员
statustoolbar_electricity	电力
statustoolbar_stats	状态
statustoolbar_danger	危险等级
statustoolbar_jobs	工作
statustoolbar_gangs	帮派
statustoolbar_staff	员工
statustoolbar_research	调查


# =============================================================================
# Sprite Bank Editor + other tools
# =============================================================================

spritebankeditor_title	Sprite Bank 编辑器
spritebankeditor_create	创建
spritebankeditor_rotate	旋转
spritebankeditor_sort	分类
spritebankeditor_markermodetitle	标记模式


# =============================================================================
# Codex
# =============================================================================

codex_mainmenu	主菜单
codex_campaign	剧情模式
codex_cutscenes	过场动画
codex_qualifications	资格
codex_load	加载监狱
codex_loadcampaign	加载剧情
codex_save	保存监狱
codex_savecampaign	保存剧情
codex_performance	性能测试
codex_developer_load	（开发者）加载地图
codex_developer_save	（开发者）保存地图
codex_developer_clearach	（开发者）清除成就
codex_contacts	联系人
codex_materials	建材
codex_play	开始游戏
codex_play_escape	使用逃跑模式
codex_polaroids	宝丽来
codex_introduction	介绍
codex_restartintroduction	重新开始介绍
codex_restartchapter	重新开始章节
codex_help	帮助（维基百科）
codex_opensavefolder	打开存档文件夹
codex_options	选项
codex_nitgs	游戏中的人名
codex_workshop	监狱共享（Steam）
codex_steamtrending	最受欢迎的监狱（Steam）
codex_checkforupdates	检查更新
codex_preorder	立刻预购
codex_termsconditions	条款与条件
codex_twitter	Twitter
codex_extras	附加功能
codex_unlocked	已解锁 *X/*Y
codex_mapsettings	地图设置
codex_othergames	其他内倾型游戏
codex_mutators	更改器

codex_cloudsavedesc	保存到云
codex_cloud_enabled	新保存的内容将存储在云中。
codex_cloud_notaccount	Steam Cloud在Steam客户端中被禁用。请重新启用后才能使用此功能。
codex_cloud_notapp	新保存的内容将存储在您的硬盘上。
codex_saveload_delete	删除

codex_new	建立新监狱
codex_new_worldsize	世界规模
codex_new_small	小
codex_new_medium	中
codex_new_large	大
codex_new_selectwarden	选择你的典狱长
codex_new_selectgender	选择囚犯性别

codex_options_graphics	图形
codex_options_resolution	分辨率
codex_options_resolutionauto	自动
codex_options_windowed	已视窗化
codex_options_highdpi	高 DPI
codex_options_filtering	过滤
codex_options_nofiltering	关闭
codex_options_multisampled	多重采样
codex_options_supersampled	超级采样

codex_options_audio	音效
codex_options_volume	主音量
codex_options_frequency	混音频率
codex_options_swapstero	交换立体声
codex_options_dspenabled	开启音效管理器
codex_options_11khz	11025 Hz
codex_options_22khz	22050 Hz
codex_options_44khz	44100 Hz

codex_options_clocktype	时钟类型
codex_options_clocktype_analogue	模拟
codex_options_clocktype_12h	12小时制
codex_options_clocktype_24h	24小时制

codex_options_directions	楼层标志显示
codex_options_dirrender_hidden	隐藏
codex_options_dirrender_visible	可见
codex_options_dirrender_zoom	缩放

codex_options_tempscale	显示摄氏温度

codex_options_gameplay	游戏
codex_options_autosave	自动保存定时器
codex_options_renderrooms	房间网格
codex_options_apply	应用
codex_options_v2gui	2.0版图形用户界面（GUI）
codex_options_zoomtomouse	鼠标缩放
codex_options_oneclickrapsheet	一键式罪犯档案
codex_options_disableanalytics	禁用分析
codex_tooltip_disableanalytics	我们收集匿名统计数据，以帮助改进游戏体验。我们收集的数据可在metrics.txt中查看

codex_options_language	语言

codex_options_experimental	试验性
codex_options_enablevbo	顶点缓冲区对象

codex_nitgs_authwarning	重要：如果您近期更改了Name in the Game（游戏中的姓名）条目，则需要等待授权完成后，它才会出现在列表中。

codex_nitgs_filtercaption	过滤器
codex_nitgs_filterall	全部
codex_nitgs_filtermen	男性
codex_nitgs_filterwomen	女性

codex_nitgs_checkingforupdate	检查更新……
codex_nitgs_updateavailable	更新可用
codex_nitgs_downloading	下载更新……
codex_nitgs_downloadcomplete	下载完成。
codex_nitgs_downloadfailed	下载失败。

codex_enabled	启用
codex_disabled	禁用

codex_option_intake	持续接收新囚犯
codex_tooltip_intake	若启用，你每天都会收到随机数目的新囚犯……一直如此\n\n若禁用，你可以通过转至报告并点击囚犯栏来选择何时接收囚犯。
codex_option_fogofwar	战争迷雾
codex_tooltip_fogofwar	除非有警卫在此区域巡逻或区域内有闭路电视监控摄像头，否则你将无法看见监狱内部的情况
codex_option_lakes	生成湖泊
codex_tooltip_lakes	随机产生的湖泊会阻隔你的土地。警告：实验性功能。
codex_option_forests	生成森林
codex_tooltip_forests	土地上会出现森林。
codex_option_buildings	生成建筑
codex_tooltip_buildings	随机的遗弃建筑将出现在你的土地上，供你随意选择利用。
codex_option_failure	失败条件
codex_tooltip_failure	额外挑战！当你把事情搞得一团糟时（暴动暴乱、破产、过多的死亡及越狱等等）会结束游戏。
codex_option_unlimitedfunds	无限资金
codex_tooltip_unlimitedfunds	纯沙盒模式！你一开始就可以随心所欲地花钱，再也不用担心没钱或等待将来拥有更多金钱。
codex_option_gangs	帮派
codex_tooltip_gangs	某些囚犯将带着对帮派的忠诚进入监狱，他们会当场攻击敌对帮派成员。这是一项额外的挑战。
codex_option_events	事件
codex_tooltip_events	让事件在游戏中发生让你保持警觉。增加额外挑战以及不可预测性。
codex_option_weather	天气和气温
codex_tooltip_weather	为您的监狱添加不断变化的天气和气温，这需要您考虑供暖。
codex_option_enablecheats	启用工具和作弊模式
codex_tooltip_enablecheats	在本监狱启用开发者工具和作弊模式。选择后，该模式不可停止。如果取得成就，您将无法得到奖励。另外，您也无法出售本监狱。
codex_option_staffneeds	员工需求
codex_tooltip_staffneeds	你的安保员工们也会有一些类似囚犯的需求。\n你需要在“员工休息室”或“员工专区”房间里\n提供满足这些需求的设施。\n员工的满足与否，会影响他们的各种行为的效率和成功率，也会影响他们对囚犯的控制力。\n例如：极度恼火的警卫在搜查一个危险的帮派成员时，成功率会掉到10%之低。\n或者更糟，警卫可能收取贿赂而不没收违禁品。（虽然你无从得知……）\n警卫甚至可能殴打囚犯致死来发泄不满。
codex_option_wardenmode	典狱长模式
codex_tooltip_wardenmode	作为典狱长在您建造的监狱里工作。
codex_option_wardenmode_permadeath	永久死亡
codex_tooltip_wardenmode_permadeath	如果您担任的典狱长死亡，则游戏结束！

codex_option_funds	资金
codex_tooltip_funds	开始游戏时你将拥有这么多存款。在估值界面出售你建好的监狱来获得更多启动资金吧。

codex_transfer	移送
codex_transferring	移送中
codex_in_prison	禁闭中
codex_unavailable	不可用
codex_useravatar	这就是我
codex_tooltip_useravatar	把这名囚犯标记为你自己。如果你不知何故入狱了，这名囚犯就是你的写照。
codex_tooltip_flagbio	举报此人物小传包含争议内容。

codex_workshop_current	当前监狱
codex_workshop_publish	发布此监狱
codex_workshop_update	更新
codex_workshop_play	开始游戏
codex_workshop_downloading	正在下载
codex_workshop_download_failed	下载失败
codex_workshop_publishing	发布中……
codex_workshop_new	新建
codex_workshop_title	标题
codex_workshop_desc	说明
codex_workshop_view_in_workshop	在 Steam 创意工坊中查看
codex_workshop_heading_pubed	你已发布监狱
codex_workshop_heading_subed	你点赞的监狱
codex_workshop_published_by	由 *P 发布
codex_workshop_published_by_you	由你发布
codex_workshop_published_good	监狱已发布
codex_workshop_published_good_msg	你也成功发布监狱。
codex_workshop_published_bad	发布监狱失败
codex_workshop_published_bad_msg	你的监狱未能发布。
codex_workshop_published_bad_msg_new	你的新监狱发布失败。请重试。
codex_workshop_busy	Steam正在施魔法，先等它完成再试一次。
codex_workshop_file_exists	你已经发布了一个使用此名称的监狱，请使用别的名称。
codex_workshop_generic_fail	未能发布你的监狱，请重试。
codex_workshop_download_bad	未能下载该监狱
codex_workshop_pa_workshop	打开 Prison Architect 创意工坊
codex_workshop_agreement	提交此项目表示你同意[url=http://steamcommunity.com/sharedfiles/workshoplegalagreement]工坊服务条款[/url]。
codex_workshop_update_warning	更新已發布監獄
codex_workshop_update_warning_msg	更新已發佈監獄將以目前裝載的監獄取代已發佈的監獄。這個動作會刪除已發佈的監獄，並被你目前在玩的監獄永久取代。此操作無法復原。\n\n你確定要繼續嗎？

codex_options_timelapse	延时摄影
codex_timelapse_record	开始延时摄影
codex_timelapse_stop	停止延时摄影
codex_timelapse_camera	摄影机模式
codex_timelapse_customresw	自定分辨率宽度
codex_timelapse_customresh	自定分辨率高度
codex_timelapse_resolution	分辨率
codex_timelapse_fps	播放速度
codex_timelapse_interval	拍摄间隔
codex_timelapse_quality	质量
codex_timelapse_unsupported	你的硬件无法开启此功能。
codex_timelapse_savesettings	保存设定

codex_timelapse_cam_zoom	缩放摄影机
codex_timelapse_cam_fitmap	适合地图
codex_timelapse_cam_fitheight	适合地图高度
codex_timelapse_cam_fitwidth	适合地图宽度
codex_timelapse_fps_value	*X FPS
codex_timelapse_quality_high	高
codex_timelapse_quality_med	中
codex_timelapse_quality_low	低
codex_timelapse_interval_value	*X 游戏分钟
timelapse_caption	定时拍摄记录长度*X:*Y，录得*Z帧，待办列表：*T

codex_performance_running	正在执行性能测试
codex_performance_time	时间剩余： *T 秒
codex_performance_current	当前帧时间： *T 毫秒
codex_performance_min	最小帧时间： *T 毫秒
codex_performance_avg	平均帧时间： *T 毫秒
codex_performance_max	最大帧时间： *T 毫秒
codex_performance_numframes	帧数: *T

codex_last_modified	最后修改：*T
codex_sortbydesc	按日期排序
codex_sortname	名称
codex_sortdate	日期
codex_apply	应用
codex_select	选择

codex_mods	模组
codex_mod_activetitle	激活的模组
codex_mod_inactivetitle	可用的模组
codex_mod_deactivate	停用所有模组
codex_mod_wiki	查找更多模组（维基百科）
codex_mod_openmodsfolder	打开模组文件夹
codex_mod_moresteammods	查找更多模组（Steam 创意工坊）
codex_mod_findsteamtranslations	查找更多译文（Steam 创意工坊）
codex_authortitle	作者
codex_versiontitle	版本
codex_datetitle	日期
codex_urltitle	URL
codex_typetitle	类型
codex_mod_graphicsandsound	图形和声音
codex_mod_translation	译文
codex_mod_scenario	场景
codex_mod_content	内容
codex_mod_load_scenario	开始此场景
codex_publishmod	发布此模组

codex_mod_update	更新此模组
codex_mod_published_good	已发布模组
codex_mod_published_good_msg	你已成功发布模组。
codex_mod_published_bad	发布模组失败
codex_mod_published_bad_msg	你的模组发布失败。
codex_mod_modsupdated	模组已更新
codex_mod_modsupdated_msg	某些你的已激活模组已经更新，点击确定应用新的变更。游戏会自动保存。
codex_mod_translationcaption	这是另一种语言的译文吗？

codex_language	语言
codex_language_englishdefault	英语（默认）
codex_language_default	默认语言
codex_language_download	下载
codex_language_failed_download	未能下载译文
codex_language_failed_download_msg	未能下载你所选的译文。
codex_language_searching_workshop	搜索 Steam 创意工坊
codex_language_community	这些译文包由社区创建并维护——谢谢你!

codex_polaroids_new	新的

codex_save_confirm	你确定要用当前监狱覆盖 *X 吗？
codex_researtchapter_confirm	你确定要重新开始当前章节吗？未保存的进度将会丢失。
codex_delete_confirm	您确定要永久删除*X吗？

codex_premadeprisons	预制监狱

codex_trending_more	...
codex_sortbycaption	排序方式：
codex_trending_oneday	一天
codex_trending_oneweek	一周
codex_trending_threemonths	三个月
codex_trending_sixmonths	六个月
codex_trending_oneyear	一年
codex_trending_alltime	所有时间
codex_trending_failedtogetlist	无法获取监狱列表
codex_trending_failedtogetlist_msg	无法获取热门监狱列表。

codex_settings	地图设置
codex_settings_gangs	启用帮派
codex_settings_events	启用事件
codex_settings_weather	启用天气
codex_settings_staffneeds	启用 员工需求
codex_settings_failureconditions	启用故障模式
codex_settings_confirm	这种设置一经启用便无法停用。您确定要启用 *X吗？

codex_packrects	Pack Rectangles
codex_addboxbutton	新增長方形
codex_setsize	設置區域大小
codex_removeallrects	移除所有矩形
codex_packrects_widthcaption	空間寬度
codex_packrects_heightcaption	空間高度
codex_packrects_boxwcaption	長方形寬度
codex_packrects_boxhcaption	長方形高度

mods_downscaled_spritesheet	精靈表遭縮減
mods_downscaled_spritesheet_msg	由於你的顯卡限制，精靈表必須縮減。可能是啟動太多 mods 的結果。請停用一些 mods 以改善品質。
mods_errors_no_memory	已裝載無 Mod 精靈表
mods_errors_no_memory_msg	沒有足夠的繪圖記憶體以裝載更多 mod 精靈表。可能是啟動太多 mods 的結果。請停用一些 mods 以減少記憶體的使用。

# =============================================================================
# Graphics Change Confirmation
# =============================================================================

graphicschange_message	你想要保存这些图形选项吗？这些改变即将在
graphicschange_time	秒内还原。
graphicschange_accept	接受
graphicschange_revert	还原

# =============================================================================
# Script
# =============================================================================

scriptdebugger_title	脚本调试器 (F3)

# =============================================================================
# Mod Confirmation
# =============================================================================

modnotification_title	发现模组变动
modnotification_info	保存当前监狱时正在使用以下模组。强烈建议在玩此监狱前下载并激活这些模组。
modnotification_playnow	开始游戏
modnotification_active	激活
modnotification_inactive	停用
modnotification_new	新建游戏
modnotification_unknown	未知
modnotification_popup_title	模组变动
modnotification_popup_active	模组当前已激活。点击以停用。
modnotification_popup_inactive	模组当前已停用。点击以激活。
modnotification_popup_new_url	这是一个新模组。点击在网页浏览器中打开其链接。
modnotification_popup_new_steam	这是一个新的 Steam 模组。点击立即订阅并下载模组。
modnotification_popup_unknown	我们无法确定此模组的来源。请你自行查找并安装此模组。

# =============================================================================
# Biography
# =============================================================================

biography_search	停止并搜索
biography_selected	已选择
biography_prisoner_name	*S, *F
biography_prisoner_number               囚犯 #*X
biography_prisoner_age	年龄：*X
biography_prisoner_traits	特征：
biography_prisoner_convicted	被控 *C（认罪 *P）
biography_prisoner_sentenced	被判 *X 年刑期
biography_parole_now	现在有资格申请假释
biography_parole_later	可在 *X 年后申请假释
biography_prisoner_served	已服刑 *X 年
biography_prisoner_priors	前科：


# =============================================================================
# Rap Sheet
# =============================================================================

rapsheet_age	年龄：
rapsheet_category	类别：
rapsheet_traits	已知特征：
rapsheet_conviction_text	*C - *Y 年
rapsheet_found_text	（抗辩： *P ）
rapsheet_convictions	定罪
rapsheet_misconductstitle	近期不当行为
rapsheet_biography	人物小传
rapsheet_guilty	认罪
rapsheet_notguilty	不认罪
rapsheet_served	已服刑
rapsheet_served_time	已服刑 *Y 年
rapsheet_time	*Y 年
rapsheet_bio	因 *A 被判 *Y 年徒刑。
rapsheet_bio_med	因 *A 和 *B 数罪并罚，被判 *Y 年徒刑。
rapsheet_bio_long	因 *A ， *B 和 *C 数罪并罚，被判 *Y 年徒刑。
rapsheet_category_minsec	轻刑犯
rapsheet_category_normal	普通犯
rapsheet_category_maxsec	重刑犯
rapsheet_category_protected	重点保护
rapsheet_category_supermax	超重刑犯
rapsheet_category_deathrow	死刑犯
rapsheet_tab_biography	人物小传
rapsheet_tab_experience	经历
rapsheet_tab_grading	评级
rapsheet_tab_character	性格
rapsheet_punish	惩罚
rapsheet_recruit	招募线人

rapsheet_timeinside	在你的监狱度过了 *X 天
rapsheet_timeinside_hours	在你的监狱度过了 *X 小时
rapsheet_mood	情绪
rapsheet_activity	活动
rapsheet_condition	状况
rapsheet_program	方案
rapsheet_passchance	成功几率
rapsheet_reformhistory	改造方案纪录

rapsheet_reform_success	成功
rapsheet_reform_successcount	完成了 *X 次
rapsheet_reform_failed	失败
rapsheet_reform_failcount	失败了 *X 次

rapsheet_grading_punishment	惩罚
rapsheet_grading_health	健康
rapsheet_grading_security	安保人员
rapsheet_grading_reform	改造
rapsheet_grading_points	*X 积分：
rapsheet_grading_penalties	*X 惩罚：

rapsheet_scheduleexecution	安排行刑


punish_lockdown_6	禁足 (6小时)
punish_lockdown_12	禁足 (12小时)
punish_lockdown_24	禁足 (24小时)
punish_solitary_6	关禁闭 (6小时)
punish_solitary_12	关禁闭 (12小时)
punish_solitary_24	关禁闭 (24小时)
punish_solitary_perm	关禁闭（无限期）
punish_lockdown_perm	禁足（无限期）
punish_solitary	关禁闭
punish_lockdown	防范禁闭
punish_none	无
punish_timer	*X小时 *Y分钟
punish_timer_minutes	*X分钟
punish_active	执行中
punish_permanent	（无限期）
punish_end	结束惩罚

punish_up	上
punish_down	下
punish_setmin	最小值
punish_setmed	中间值
punish_setmax	最大值
punish_setsuper	超级

# =============================================================================
# Misconducts
# =============================================================================

misconduct_reporttype_none	无
misconduct_reporttype_complaint	抱怨
misconduct_reporttype_destruction	毁坏公物
misconduct_reporttype_escapeattempt	尝试越狱
misconduct_reporttype_injuredprisoner	攻击囚犯
misconduct_reporttype_injuredstaff	攻击员工
misconduct_reporttype_seriousinjury	重伤他人
misconduct_reporttype_murder	谋杀
misconduct_reporttype_contrabandweapons	私藏武器
misconduct_reporttype_contrabandtools	私藏工具
misconduct_reporttype_contrabandnarcotics	私藏毒品
misconduct_reporttype_contrabandluxuries	私藏奢侈品
misconduct_reporttype_intoxicated	中毒
misconduct_title	=[不当行为]=
misconduct_totalitems	（附加的*X ）

misconduct_report_addiction	对 *X 上瘾
misconduct_report_recoving	正在戒掉 *X
misconduct_report_alcoholic	酗酒
misconduct_report_recovingalcoholic	正在戒酒


# =============================================================================
# Research Names + Captions
# =============================================================================

research_required	你需要 *X 来编制这份报告
research_requireunlock	你需要调查“ *X ”来解锁此报告
research_approved	已批准
research_cost	费用：*X
research_costperitem	+ *X 每件。
research_timetounlock	解锁时间：*X小时
research_movementpenalty	移动速度减慢：*X%
research_protectionbonus	保护：*X%
research_tap_to_authorise	轻按以授权

research_none	无
research_warden	典狱长
research_maintainance	维护
research_security	安保人员
research_legal	法务
research_mentalhealth	心理
research_finance	财政
research_landexpansion	土地扩张
research_cctv	监控
research_riotguards	防暴警卫
research_health	健康
research_cleaning	清洁
research_groundskeeping	园艺
research_clone	克隆
research_deployment	部署
research_patrols	巡逻
research_dogs	警犬
research_prisonlabour	狱中劳役
research_education	教育
research_contraband	情报
research_policy	监狱政策
research_armoury	枪械库
research_bodyarmour	护甲
research_tazers	电击枪
research_tazersforeveryone	列装电击枪
research_bankloans	银行贷款
research_lowertaxes1	税收减免
research_lowertaxes2	离岸避税天堂
research_remoteaccess	远程存取
research_extragrant	额外拨款
research_advancedmanagement	微观管理
research_deathrow	死刑犯
research_permanentpunishment	永久性惩罚
research_removemincellsize	小牢房
research_reduceexecutionliability	行刑責任
research_legalprep	法律筹备
research_legaldefense	法律辩护
research_guardtowers	警戒塔

researchtooltip_warden	解锁典狱长和整个监狱行政系统。打开员工工具栏来聘用典狱长。\n\n与其他管理者相同，需要为典狱长提供办公室。
researchtooltip_security	解锁安保主管，可以从员工工具栏聘用。主管可解锁部署界面，并且可以提供监狱风险等级的实时报告，可预测潜在安全隐患。\n\n与其他管理者相同，需要为安保主管提供办公室。
researchtooltip_maintenance	解锁工头。可以从员工工具栏聘用。\n\n与其他管理者相同，需要为工头提供办公室。
researchtooltip_legal	解锁律师，可以从员工工具栏聘用。解锁多个调查选项以扩大你对监狱的控制权。\n\n与其他管理者相同，需要为律师提供办公室。
researchtooltip_deployment	使你可以永久性指派警卫到监狱特定区域站岗。
researchtooltip_patrols	使你可以在监狱重点区域（例如外围）制定巡逻路线，并分配警卫按照该路线巡逻。
researchtooltip_dogs	解锁警犬训练员和警犬。警犬可以轻易凭借嗅觉找出违禁物及越狱地道。\n\n警犬出色的速度使其可以轻松追捕逃犯。
researchtooltip_cctv	解锁闭路电视监控摄像头及监视器。使用这些设备来监视没有警卫警戒的区域。\n\n同时解锁电话监听系统，使你可以监听囚犯打出的电话以获取重要情报。
researchtooltip_remoteaccess	解锁远程操控和自动门禁等高科技设备。你可以使用控制系统远程开门（由一名警卫操作），或者在每天特定时刻由门禁定时器打开。
researchtooltip_riotguards	（目前暂时无用）\n 解锁“防暴警卫”，这些武装人员能更好地处置暴力事件。
researchtooltip_maintainance	解锁工头。工头使你可以进一步调查狱中劳役等事宜或园丁等额外员工。\n\n与其他管理者相同，需要为工头提供办公室。
researchtooltip_clone	解锁主工具栏上的克隆工具。使用此工具可快速复制监狱区域，如牢房。\n\n你需要选择一个区域，然后点击鼠标右键拖动复制，最后左键点击你要粘贴的位置。
researchtooltip_groundskeeping	解锁“园丁”，他将使室外区域保持整洁。
researchtooltip_cleaning	解锁“清洁工”，他将清洁监狱的所有室内区域，也可协助监狱洗衣服务。
researchtooltip_health	解锁“医师”以及“医务室”和“停尸房”。受伤的囚犯和员工会被带到医务室，医师会为其包扎治疗。
researchtooltip_MentalHealth	解锁心理医师，可在任何时候为你提供宝贵的囚犯心理状态分析。\n\n与其他管理者相同，需要为心理医师提供办公室。
researchtooltip_finance	解锁会计师，使你可以查看监狱的财务报告。\n\n如果你有足够的资金储备，还将使你每天能够使用超出收入水平的资金。\n\n与其他管理者相同，需要为会计师提供办公室。
researchtooltip_landexpansion	授权你购买临近的地块，从而拓展监狱的规模，超越其原始边界。
researchtooltip_prisonlabour	允许你让囚犯在监狱内工作（做饭、清洁等等）可以帮你减少所需的工资开支、帮你赚钱，同时给囚犯们教授新技能。\n\n也可解锁工坊和洗衣房。
researchtooltip_education	解锁为囚犯们实行教育改造方案的能力。使用外部教师进行改造。
researchtooltip_contraband	训练警卫，提高其追踪并追回违禁品的能力。解锁违禁品供需报告，违禁品分布图（显示监狱内所有可能发生盗窃的地方），并将所有遭盗窃的违禁品追回置于其被盗地点。\n\n也可解锁将囚犯招募为秘密线人的能力。\n\n还可解锁帮派情报视图。
researchtooltip_policy	解锁政策报告，使您可以增加或减少针对各类不端行为的惩罚，以及自动触发针对行为不端的囚犯及其牢房的搜索。\n\n并且您可以控制营养政策，改变为囚犯提供的食物数量和种类。
researchtooltip_armoury	解锁枪械库，使你可以在监狱内部署武装警卫。
researchtooltip_bodyarmour	为所有警卫、武装警卫和警犬训练员配备护甲。护甲可以降低警卫在打斗中受到的伤害，但是会降低其移动速度。\n\n警卫们必须前往枪械库获取装备，你需要付钱购买所有以这种方式装备的护甲。
researchtooltip_tazers	使你的武装警卫能够装备电击枪，电击枪是一种非常有效的单发武器，可以在一瞬间将多数目标电晕。电击枪击发一次后需要整整一个小时来充电。\n\n穿护甲的警卫们必须前往枪械库获取装备，你需要付钱购买每一把以这种方式装备的电击枪。
researchtooltip_tazersforeveryone	拓展电击枪方案，使普通警卫和警犬训练员也可装备电击枪防御。\n\n他们必须前往枪械库获取装备，你需要付钱购买每一把以这种方式装备的电击枪。
researchtooltip_bankloans	使你能够从银行借贷大笔款项，但需每天支付利息。偿还贷款会提高你的信用评级并使你将来能够进行更大额度的贷款。
researchtooltip_lowertaxes1	利用政府税收激励措施并将企业所得税率降至15%。\n\n每10,000美元的每日利润能够节省1,500美元的税费。
